year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1998,PRK,GTM,ALL,2260841.77,0.01%
1998,PRK,HND,ALL,4391761.86,0.01%
1998,PRK,JAM,ALL,1949925.13,0.01%
1998,PRK,LCA,ALL,317221.75,0.00%
1998,PRK,MEX,ALL,100420898,0.29%
1998,PRK,SLV,ALL,4844854.65,0.01%
1998,PRK,TTO,ALL,2458977.82,0.01%
1998,PRK,AUS,ALL,4577761.75,0.01%
1998,PRK,NZL,ALL,5308.93,0.00%
1998,PRK,PNG,ALL,135136.36,0.00%
1998,PRK,PYF,ALL,86522.99,0.00%
1998,PRK,BOL,ALL,1377853.05,0.00%
1998,PRK,BRA,ALL,45114593.74,0.13%
1998,PRK,CHL,ALL,256157.68,0.00%
1998,PRK,COL,ALL,3586311.07,0.01%
1998,PRK,ECU,ALL,194185.27,0.00%
1998,PRK,GUY,ALL,70334.81,0.00%
1998,PRK,PER,ALL,2738516.23,0.01%
1998,PRK,PRY,ALL,377471.7,0.00%
1998,PRK,URY,ALL,2412669.32,0.01%
1998,PRK,VEN,ALL,166872.29,0.00%
1999,PRK,BEN,ALL,1985812.69,0.01%
1999,PRK,BFA,ALL,384014.99,0.00%
1999,PRK,CAF,ALL,1851.64,0.00%
1999,PRK,CIV,ALL,355912.79,0.00%
1999,PRK,CMR,ALL,2502.51,0.00%
1999,PRK,CPV,ALL,65814.3,0.00%
1999,PRK,DZA,ALL,5240085,0.02%
1999,PRK,EGY,ALL,965768.71,0.00%
1999,PRK,ETH,ALL,2443034.03,0.01%
1999,PRK,GAB,ALL,110663.41,0.00%
1999,PRK,GHA,ALL,5025691.23,0.01%
1999,PRK,GMB,ALL,1249302.88,0.00%
1999,PRK,KEN,ALL,364960.77,0.00%
1999,PRK,MDG,ALL,190125.61,0.00%
1999,PRK,MLI,ALL,230252.25,0.00%
1999,PRK,MUS,ALL,1419988.63,0.00%
1999,PRK,NER,ALL,28664.92,0.00%
1999,PRK,NGA,ALL,330483.92,0.00%
1999,PRK,SDN,ALL,1263857.54,0.00%
1999,PRK,SEN,ALL,112622.49,0.00%
1999,PRK,STP,ALL,395902.61,0.00%
1999,PRK,TGO,ALL,276047.71,0.00%
1999,PRK,TUN,ALL,1967913.03,0.01%
1999,PRK,TZA,ALL,950920.02,0.00%
1999,PRK,UGA,ALL,225559.52,0.00%
1999,PRK,ZAF,ALL,3009721,0.01%
1999,PRK,ARM,ALL,18210,0.00%
1999,PRK,AZE,ALL,75865.65,0.00%
1999,PRK,CHN,ALL,38343315.04,0.11%
1999,PRK,GEO,ALL,20522,0.00%
1999,PRK,HKG,ALL,45485755.29,0.13%
1999,PRK,IDN,ALL,902981.45,0.00%
1999,PRK,IND,ALL,15443095.31,0.04%
1999,PRK,JOR,ALL,175881,0.00%
1999,PRK,JPN,ALL,195611144.6,0.56%
1999,PRK,KOR,ALL,14146148.88,0.04%
1999,PRK,LBN,ALL,32348040.24,0.09%
1999,PRK,LKA,ALL,2368,0.00%
1999,PRK,MAC,ALL,27403128.48,0.08%
1999,PRK,MDV,ALL,332439.91,0.00%
1999,PRK,MNG,ALL,20351.38,0.00%
1999,PRK,MYS,ALL,1683505.34,0.00%
1999,PRK,OMN,ALL,24115.58,0.00%
1999,PRK,SAU,ALL,52373771.73,0.15%
1999,PRK,SGP,ALL,1271263.71,0.00%
1999,PRK,THA,ALL,2716720.7,0.01%
1999,PRK,TUR,ALL,5581273.38,0.02%
1999,PRK,ALB,ALL,131453.73,0.00%
1999,PRK,AND,ALL,118431,0.00%
1999,PRK,AUT,ALL,2508683.29,0.01%
1999,PRK,BGR,ALL,1916107.18,0.01%
1999,PRK,BLR,ALL,2729603.49,0.01%
1999,PRK,BLX,ALL,308796.65,0.00%
1999,PRK,CHE,ALL,1185125.88,0.00%
1999,PRK,CZE,ALL,457543.91,0.00%
1999,PRK,DEU,ALL,24581114.82,0.07%
1999,PRK,DNK,ALL,2682540.53,0.01%
1999,PRK,ESP,ALL,9303676.31,0.03%
1999,PRK,EST,ALL,254439.4,0.00%
1999,PRK,FIN,ALL,31914.1,0.00%
1999,PRK,FRA,ALL,10020822.15,0.03%
1999,PRK,GBR,ALL,2067532.03,0.01%
1999,PRK,GRC,ALL,1611037.44,0.00%
1999,PRK,HRV,ALL,84600.12,0.00%
1999,PRK,HUN,ALL,251597.47,0.00%
1999,PRK,IRL,ALL,23594151.04,0.07%
1999,PRK,ITA,ALL,2070383.84,0.01%
1999,PRK,LTU,ALL,27986,0.00%
1999,PRK,LVA,ALL,8773,0.00%
1999,PRK,MDA,ALL,113935.2,0.00%
1999,PRK,MKD,ALL,76207.3,0.00%
1999,PRK,NLD,ALL,2908721.61,0.01%
1999,PRK,POL,ALL,6396334.47,0.02%
1999,PRK,PRT,ALL,295389.68,0.00%
1999,PRK,ROU,ALL,461703.43,0.00%
1999,PRK,RUS,ALL,7021722.88,0.02%
1999,PRK,SVK,ALL,443360.99,0.00%
1999,PRK,SVN,ALL,3151635.13,0.01%
1999,PRK,SWE,ALL,216345.08,0.00%
1999,PRK,UKR,ALL,6558921.73,0.02%
1999,PRK,YUG,ALL,33000,0.00%
1999,PRK,ATG,ALL,1496187.09,0.00%
1999,PRK,BHS,ALL,13024,0.00%
1999,PRK,BLZ,ALL,20039.74,0.00%
1999,PRK,BRB,ALL,255286.29,0.00%
1999,PRK,CAN,ALL,149676,0.00%
1999,PRK,CRI,ALL,5099349.49,0.02%
1999,PRK,CUB,ALL,8763099.95,0.03%
1999,PRK,DMA,ALL,22584.04,0.00%
1999,PRK,GRD,ALL,3279.36,0.00%
1999,PRK,GTM,ALL,1059030.88,0.00%
1999,PRK,HND,ALL,12529148.88,0.04%
1999,PRK,JAM,ALL,2858257.54,0.01%
1999,PRK,KNA,ALL,45719.66,0.00%
1999,PRK,LCA,ALL,424829.01,0.00%
1999,PRK,MEX,ALL,177562602,0.51%
1999,PRK,NIC,ALL,2328082.3,0.01%
1999,PRK,SLV,ALL,6318559.36,0.02%
1999,PRK,TTO,ALL,1378061.94,0.00%
1999,PRK,USA,ALL,29233,0.00%
1999,PRK,AUS,ALL,3135415.74,0.01%
1999,PRK,NCL,ALL,21275.59,0.00%
1999,PRK,NZL,ALL,53515.48,0.00%
1999,PRK,PYF,ALL,116900.71,0.00%
1999,PRK,BOL,ALL,1176075.13,0.00%
1999,PRK,BRA,ALL,45962032.82,0.13%
1999,PRK,CHL,ALL,303761.68,0.00%
1999,PRK,COL,ALL,3992161.06,0.01%
1999,PRK,ECU,ALL,95172.13,0.00%
1999,PRK,GUY,ALL,13523.09,0.00%
1999,PRK,PER,ALL,495198.13,0.00%
1999,PRK,PRY,ALL,696205.3,0.00%
1999,PRK,URY,ALL,1176596.89,0.00%
1999,PRK,VEN,ALL,5497182.49,0.02%
2000,PRK,BEN,ALL,923912.58,0.00%
2000,PRK,BFA,ALL,339732.75,0.00%
2000,PRK,CAF,ALL,33662.13,0.00%
2000,PRK,CIV,ALL,342503.71,0.00%
2000,PRK,CMR,ALL,1447.32,0.00%
2000,PRK,COM,ALL,169353.09,0.00%
2000,PRK,CPV,ALL,80070.04,0.00%
2000,PRK,DZA,ALL,3585114,0.01%
2000,PRK,EGY,ALL,35325.64,0.00%
2000,PRK,ETH,ALL,501999.02,0.00%
2000,PRK,GAB,ALL,227856.91,0.00%
2000,PRK,GHA,ALL,65180581.5,0.19%
2000,PRK,GIN,ALL,616484.95,0.00%
2000,PRK,GMB,ALL,371102.14,0.00%
2000,PRK,KEN,ALL,1083817.55,0.00%
2000,PRK,MDG,ALL,124726.47,0.00%
2000,PRK,MLI,ALL,123146.91,0.00%
2000,PRK,MOZ,ALL,80885.04,0.00%
2000,PRK,MRT,ALL,34069.51,0.00%
2000,PRK,MUS,ALL,587559.38,0.00%
2000,PRK,MWI,ALL,51867.93,0.00%
2000,PRK,NER,ALL,63333.54,0.00%
2000,PRK,NGA,ALL,2847670.08,0.01%
2000,PRK,SDN,ALL,1615124.51,0.00%
2000,PRK,SEN,ALL,168163.2,0.00%
2000,PRK,SYC,ALL,10416.47,0.00%
2000,PRK,TGO,ALL,114559.29,0.00%
2000,PRK,TUN,ALL,1847334.29,0.01%
2000,PRK,TZA,ALL,80614.69,0.00%
2000,PRK,UGA,ALL,4438,0.00%
2000,PRK,ZAF,ALL,1308299.35,0.00%
2000,PRK,ZMB,ALL,20011.34,0.00%
2000,PRK,AZE,ALL,121619.69,0.00%
2000,PRK,BGD,ALL,47254536.15,0.14%
2000,PRK,BHR,ALL,91254.19,0.00%
2000,PRK,CHN,ALL,26217920.81,0.08%
2000,PRK,GEO,ALL,117130,0.00%
2000,PRK,HKG,ALL,43790643.67,0.13%
2000,PRK,IDN,ALL,1180423.16,0.00%
2000,PRK,IND,ALL,20013906.44,0.06%
2000,PRK,JOR,ALL,92405.11,0.00%
2000,PRK,JPN,ALL,250177566.8,0.72%
2000,PRK,KAZ,ALL,52103.25,0.00%
